Epoch,Train Loss,Test Loss
0,28.363464663028715,27.466405563354513
1,14.358887672424318,12.94700020670892
2,7.484911276698108,6.607807694673533
3,4.597163261771203,3.797200824320317
4,3.3476673834025887,2.50319539695978
5,3.196299224942925,1.879363097697497
6,2.376399815678592,1.536334684044122
7,2.1038189504295604,1.346660950034858
8,2.053612335547804,1.201297533065081
9,2.4775965288281423,1.1032223970443005
10,1.823169205561281,1.0450415907800192
11,1.6987743316963304,0.9901994429528714
12,1.7342927295342099,0.9448670619726184
13,2.1507050935924044,0.9298111976310612
14,1.5891182101890435,0.9277832929044962
15,1.5536364423483626,0.9036813469603657
16,1.5948921373486504,0.888817115277053
17,2.0209515577927246,0.8840773103386157
18,1.4745645608007898,0.91167345624417
19,1.4652932225540287,0.8694376430287957
20,1.5110345466807484,0.8752986969426284
21,1.8927960628271123,0.9173886204138404
22,1.3965495647862558,0.9190468524023893
23,1.407545245029033,0.8785198547691109
24,1.456327563636004,0.8881722742319105
25,1.8145629663392902,0.9595113375782965
26,1.3277440203726296,0.9616759627312419
27,1.372119195759295,0.8842356539890166
28,1.4065136421099307,0.9429188165813691
29,1.8364527453109631,0.9547300251573339
